200634,2006-06-20T16:00,Costa Rica,Poland,1,2,A,FIFA World Cup Stadium, Hanover,Hanover
200635,2006-06-20T21:00,Sweden,England,2,2,B,FIFA World Cup Stadium, Cologne,Cologne
200636,2006-06-20T21:00,Paraguay,Trinidad and Tobago,2,0,B,Fritz-Walter-Stadion,Kaiserslautern
200640,2006-06-21T16:00,Iran,Angola,1,1,D,Zentralstadion,Leipzig
200639,2006-06-21T16:00,Portugal,Mexico,2,1,D,FIFA World Cup Stadium, Gelsenkirchen,Gelsenkirchen
200637,2006-06-21T21:00,Netherlands,Argentina,0,0,C,FIFA World Cup Stadium, Frankfurt,Frankfurt/Main
200638,2006-06-21T21:00,Côte d'Ivoire,Serbia and Montenegro,3,2,C,FIFA World Cup Stadium, Munich,Munich
200641,2006-06-22T16:00,Czech Republic,Italy,0,2,E,FIFA World Cup Stadium, Hamburg,Hamburg
200642,2006-06-22T16:00,Ghana,USA,2,1,E,Franken-Stadion,Nuremberg
200643,2006-06-22T21:00,Japan,Brazil,1,4,F,FIFA World Cup Stadium, Dortmund,Dortmund
200644,2006-06-22T21:00,Croatia,Australia,2,2,F,Gottlieb-Daimler-Stadion,Stuttgart
200648,2006-06-23T16:00,Ukraine,Tunisia,1,0,H,Olympiastadion,Berlin
200647,2006-06-23T16:00,Saudi Arabia,Spain,0,1,H,Fritz-Walter-Stadion,Kaiserslautern
200645,2006-06-23T21:00,Togo,France,0,2,G,FIFA World Cup Stadium, Cologne,Cologne
200646,2006-06-23T21:00,Switzerland,Korea Republic,2,0,G,FIFA World Cup Stadium, Hanover,Hanover
200649,2006-06-24T17:00,Germany,Sweden,2,0,Knock,FIFA World Cup Stadium, Munich,Munich
200650,2006-06-24T21:00,Argentina,Mexico,2,1,Knock,Zentralstadion,Leipzig
200651,2006-06-25T17:00,England,Ecuador,1,0,Knock,Gottlieb-Daimler-Stadion,Stuttgart
200652,2006-06-25T21:00,Portugal,Netherlands,1,0,Knock,Franken-Stadion,Nuremberg
200653,2006-06-26T17:00,Italy,Australia,1,0,Knock,Fritz-Walter-Stadion,Kaiserslautern
200654,2006-06-26T21:00,Switzerland,Ukraine,0,0,Knock,FIFA World Cup Stadium, Cologne,Cologne
200655,2006-06-27T17:00,Brazil,Ghana,3,0,Knock,FIFA World Cup Stadium, Dortmund,Dortmund
